epoch,step,test_mae_brightness,test_mae_emission,test_mse_brightness,test_mse_emission,train_loss,val_mae_brightness,val_mae_emission,val_mse_brightness,val_mse_emission
0,0,,,,,,87.3751220703125,71.40673828125,7634.412109375,5098.92236328125
1,1,,,,,,55.5018424987793,65.7279052734375,3080.45458984375,4320.15771484375
2,2,,,,,,58.545387268066406,62.2791748046875,3427.562255859375,3878.695556640625
3,3,,,,,,60.2830924987793,74.87347412109375,3634.05126953125,5606.037109375
4,4,,,,,,71.87382507324219,55.10736083984375,5165.8466796875,3036.8212890625
5,5,,,,,,58.49900436401367,72.762939453125,3422.133544921875,5294.4453125
6,6,,,,,,53.814937591552734,73.8153076171875,2896.047607421875,5448.69970703125
7,7,,,,,,57.0892448425293,65.64373779296875,3259.181884765625,4309.10009765625
8,8,,,,,,66.40545654296875,63.84637451171875,4409.6845703125,4076.359619140625
9,9,,,,,,67.3474349975586,64.505859375,4535.6767578125,4161.005859375
10,10,,,,,,61.82618713378906,65.8145751953125,3822.477294921875,4331.55810546875
11,11,,,,,,57.96426773071289,67.6771240234375,3359.8564453125,4580.193359375
12,12,,,,,,56.76719665527344,69.27850341796875,3222.5146484375,4799.51123046875
13,13,,,,,,58.45499038696289,69.3310546875,3416.98583984375,4806.794921875
14,14,,,,,,61.32728958129883,67.822998046875,3761.036376953125,4599.958984375
15,15,,,,,,63.5701904296875,65.69036865234375,4041.169189453125,4315.224609375
16,16,,,,,,64.22199249267578,64.935791015625,4124.46435546875,4216.65673828125
17,17,,,,,,63.16793441772461,65.907958984375,3990.18798828125,4343.85888671875
18,18,,,,,,61.144676208496094,67.3521728515625,3738.67138671875,4536.3154296875
19,19,,,,,,59.314048767089844,68.1951904296875,3518.156494140625,4650.583984375
20,20,,,,,,58.662811279296875,68.2364501953125,3441.325439453125,4656.21337890625
21,21,,,,,,59.32806396484375,67.5821533203125,3519.819091796875,4567.34765625
22,22,,,,,,60.89912414550781,66.79669189453125,3708.703369140625,4461.7978515625
23,23,,,,,,62.40266036987305,66.25555419921875,3894.092041015625,4389.79833984375
24,24,,,,,,63.01959228515625,66.07403564453125,3971.468994140625,4365.7783203125
25,25,,,,,,62.533809661865234,66.2156982421875,3910.477294921875,4384.5185546875
26,26,,,,,,61.338619232177734,66.57427978515625,3762.42626953125,4432.134765625
27,27,,,,,,60.15386962890625,67.07696533203125,3618.488037109375,4499.3193359375
28,28,,,,,,59.62759780883789,67.57257080078125,3555.450439453125,4566.05224609375
29,29,,,,,,59.9385986328125,67.7906494140625,3592.635498046875,4595.572265625
30,30,,,,,,60.760066986083984,67.6107177734375,3691.78564453125,4571.208984375
31,31,,,,,,61.58522033691406,67.0406494140625,3792.7392578125,4494.44873046875
32,32,,,,,,62.02516555786133,66.3599853515625,3847.12109375,4403.6474609375
33,33,,,,,,61.9783821105957,65.95623779296875,3841.31982421875,4350.22509765625
34,34,,,,,,61.593040466308594,66.07989501953125,3793.70263671875,4366.552734375
35,35,,,,,,61.109092712402344,66.66229248046875,3734.3212890625,4443.861328125
36,36,,,,,,60.72211456298828,67.3509521484375,3687.17529296875,4536.15087890625
37,37,,,,,,60.537010192871094,67.73583984375,3664.7294921875,4588.14404296875
38,38,,,,,,60.58147430419922,67.6173095703125,3670.114990234375,4572.1005859375
39,39,,,,,,60.82730484008789,67.11761474609375,3699.9609375,4504.7744140625
40,40,,,,,,61.194908142089844,66.5703125,3744.81689453125,4431.6064453125
41,41,,,,,,61.55084228515625,66.2913818359375,3788.506103515625,4394.54736328125
42,42,,,,,,61.73524856567383,66.384521484375,3811.240966796875,4406.90478515625
43,43,,,,,,61.63945007324219,66.7161865234375,3799.421875,4451.04931640625
44,44,,,,,,61.288673400878906,67.05230712890625,3756.301513671875,4496.01171875
45,45,,,,,,60.85768508911133,67.22259521484375,3703.65771484375,4518.87744140625
46,46,,,,,,60.58609390258789,67.20037841796875,3670.6748046875,4515.890625
47,47,,,,,,60.63150405883789,67.0682373046875,3676.17919921875,4498.1484375
48,48,,,,,,60.96175003051758,66.922607421875,3716.3349609375,4478.63525390625
49,49,,,,,0.019796952605247498,,,,
49,49,,,,,,61.373207092285156,66.80792236328125,3766.670654296875,4463.29833984375
50,50,,,,,,61.62528991699219,66.72625732421875,3797.67626953125,4452.3935546875
51,51,,,,,,61.59254455566406,66.6854248046875,3793.6416015625,4446.94580078125
52,52,,,,,,61.329463958740234,66.7174072265625,3761.30322265625,4451.21240234375
53,53,,,,,,61.016090393066406,66.84320068359375,3722.96337890625,4468.013671875
54,54,,,,,,60.83237838745117,67.023193359375,3700.578369140625,4492.1083984375
55,55,,,,,,60.850406646728516,67.15472412109375,3702.77197265625,4509.7568359375
56,56,,,,,,61.01519012451172,67.1405029296875,3722.853515625,4507.84716796875
57,57,,,,,,61.209800720214844,66.97210693359375,3746.6396484375,4485.26318359375
58,58,,,,,,61.338523864746094,66.75152587890625,3762.41455078125,4455.76611328125
59,59,,,,,,61.367645263671875,66.62506103515625,3765.98779296875,4438.89892578125
60,60,61.36764144897461,66.62506103515625,3765.9873046875,4438.89892578125,,,,,
